,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
31,1,24000.576048759234,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",42.3991,"[4.69579291662428e-05, 0.08837748022466319, 0.19720389139931147, 0.33468128629916216, 0.5140834567604352, 0.7589984492405408, 0.9036127525225298, 1.0]"
32,1,1594.3399669045284,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",21.1143,"[0.0007064202776390471, 0.08897868857033969, 0.19773332871408372, 0.33512005369294406, 0.5144039146318576, 0.759157374951948, 0.9036763175325864, 1.0]"
33,1,88281.04959763469,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",44.6109,"[1.2766679626476583e-05, 0.08834630878169882, 0.19717643999217607, 0.3346585266321391, 0.51406683794467, 0.7589902021520047, 0.9036094382566554, 1.0]"
34,1,59.60203429026218,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",14889.1925,"[0.018558980467145037, 0.10525424969196856, 0.21206596740782693, 0.34699824968596626, 0.5230791721556882, 0.7634600782721048, 0.905397156291717, 1.0]"
35,1,1.5917992195534925,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",8002499.6566,"[0.4145363614294423, 0.46625309988996116, 0.5299699988579021, 0.6104618055592973, 0.715500176623053, 0.8588957305424223, 0.9435661312520349, 1.0]"
36,1,29.713481340050514,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",59991.7458,"[0.03654507538032751, 0.1216515494946677, 0.22650581604238004, 0.35896531266479975, 0.5318193395432345, 0.7677949482828786, 0.9071308833620928, 1.0]"
37,1,57701.27616225062,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",44.1646,"[1.9532466654321978e-05, 0.08835247673934461, 0.1971818753286214, 0.3346630336607506, 0.5140701286359923, 0.7589918336433474, 0.9036101146285631, 1.0]"
38,1,147110.3514121371,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",44.9506,"[7.661334651623416e-06, 0.08834165428912981, 0.19717234155730376, 0.33465513108681216, 0.5140643577811252, 0.7589889647633433, 0.903608958942114, 1.0]"
39,1,179.17819582342136,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",1449.6283,"[0.006250900541204518, 0.09403340001642134, 0.2021846275648584, 0.3388090791070334, 0.5170982012005026, 0.7604936787669944, 0.9042107699743153, 1.0]"
40,1,1754.4932685996976,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",21.4023,"[0.0006419783600940409, 0.0889199390154024, 0.19768159247625022, 0.33507717485754523, 0.5143725991871869, 0.7591418436393391, 0.9036700988444986, 1.0]"
41,1,33808.06385915781,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",43.2672,"[3.333620953584443e-05, 0.08836506162973198, 0.1971929551758616, 0.3346722159722343, 0.5140768365846533, 0.7589951643157085, 0.9036114329640963, 1.0]"
42,1,453.9793750628115,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",164.9529,"[0.002476498141328149, 0.09059240708888457, 0.19915440684800917, 0.33629777810421974, 0.5152640617413732, 0.7595839834770681, 0.9038469385331668, 1.0]"
43,1,17221.125132752768,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",41.2488,"[6.544267584042582e-05, 0.08839433290280833, 0.1972187303900319, 0.3346935817853672, 0.5140924449048028, 0.7590028990335072, 0.9036145341486358, 1.0]"
44,1,716302.9645077793,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",45.3588,"[1.5734522315627794e-06, 0.0883361044806839, 0.19716745462016538, 0.33465109029818596, 0.5140614036388051, 0.7589875079263643, 0.9036083623737108, 1.0]"
45,1,897.8376520361331,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",34.3154,"[0.0012537424701037326, 0.08947766274333169, 0.1981727347247941, 0.3354842102557886, 0.5146698743226871, 0.7592892781491276, 0.9037290528426374, 1.0]"
