,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
31,1,2105.576395,0.6900435162266818,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",3860.4885,"[0.00047932487733334697, 0.582820435435488, 0.7769499491454245, 0.875287680430555, 0.9354303583958078, 0.9767407292800622, 0.9919036193545362, 1.0]"
32,1,2105.576395,0.04583906463696761,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",31.6475,"[0.0005302857233038389, 0.0951535165909955, 0.20991221405057517, 0.3520993496860129, 0.53315775701383, 0.772563885696772, 0.9099595328189592, 1.0]"
33,1,2105.576395,2.5381793235618284,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",7707.5392,"[0.0004762524674659458, 0.8316892178501634, 0.923827442664659, 0.9601729557084309, 0.9800122978810247, 0.9928636684476558, 0.9975009230552901, 1.0]"
34,1,2105.576395,0.0017136254243381773,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",210.2161,"[0.0018506731510691708, 0.015319208821900887, 0.035344372832509824, 0.06825425880663775, 0.13238298468643497, 0.31223860858005587, 0.5759215604284273, 1.0]"
35,1,2105.576395,4.576601529713548e-05,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",109913.7381,"[0.049206909410288456, 0.0588040346789049, 0.0731963126519929, 0.097174350009739, 0.14509637773105835, 0.2885906070610261, 0.5268453526318142, 1.0]"
36,1,2105.576395,0.0008542959594623695,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",454.7316,"[0.003221428814605361, 0.014929959729497276, 0.03241542554075965, 0.06135347567641279, 0.11847517142176303, 0.2840364922481031, 0.5420491714692541, 1.0]"
37,1,2105.576395,1.65897649343398,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",6575.5875,"[0.0004768958615531941, 0.7661889109711089, 0.8899783746499805, 0.9417234585539032, 0.9706277209483921, 0.989530757215529, 0.9963485730132677, 1.0]"
38,1,2105.576395,4.229587821373221,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",8781.6867,"[0.00047573787357351957, 0.8897002306620544, 0.9515591874435697, 0.9748629410296611, 0.9873849440238405, 0.995468011125295, 0.9984019790505974, 1.0]"
39,1,2105.576395,0.005151574363296935,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",106.3592,"[0.0009381389830067999, 0.021318511780102908, 0.05109513068676357, 0.09871351860739815, 0.18707268945397015, 0.40759857150455375, 0.673242191947531, 1.0]"
40,1,2105.576395,0.050443651927394764,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",44.7665,"[0.0005254456859129649, 0.10281356858985366, 0.2245322448296033, 0.3719198112512441, 0.5543648430006448, 0.7871330389367515, 0.9166386183976892, 1.0]"
